,Unnamed: 0,TICKER,OPEN,HIGH,LOW,CLOSE,VOLUME,BARTIMESTAMP,ASSET,VWAP
18006227,18006227,GBCO,5.62,5.65,5.6,5.64,723578,2023-06-11 12:25:00,1.0,5.4415144
18006251,18006251,GBCO,5.71,5.71,5.7,5.71,116002,2023-06-12 11:00:00,1.0,5.7059061
18006386,18006386,GBCO,6.07,6.09,6.05,6.08,391849,2023-06-13 11:40:00,1.0,6.0305673
18006670,18006670,GBCO,5.44,5.44,5.43,5.43,61316,2023-06-07 10:10:00,1.0,5.4296076
18011147,18011147,GBCO,5.47,5.51,5.47,5.5,191913,2023-06-07 10:50:00,1.0,5.4533556
18012685,18012685,GBCO,5.61,5.63,5.61,5.63,134105,2023-06-11 12:35:00,1.0,5.4957196
18012902,18012902,GBCO,6.07,6.09,6.05,6.09,225754,2023-06-13 12:00:00,1.0,6.0341348
18013072,18013072,GBCO,5.42,5.43,5.42,5.43,13925,2023-06-07 10:15:00,1.0,5.4317013
18014203,18014203,GBCO,5.44,5.47,5.44,5.44,16164,2023-06-06 11:25:00,1.0,5.4393625
18017617,18017617,GBCO,5.5,5.51,5.49,5.49,103615,2023-06-07 11:00:00,1.0,5.4669462
18019225,18019225,GBCO,5.68,5.7,5.68,5.69,90145,2023-06-12 11:20:00,1.0,5.7048156
18019396,18019396,GBCO,6.06,6.12,6.06,6.12,198886,2023-06-13 12:20:00,1.0,6.0349443
18019526,18019526,GBCO,5.42,5.44,5.41,5.44,94006,2023-06-07 10:20:00,1.0,5.4340426
18019597,18019597,GBCO,5.44,5.45,5.42,5.43,57148,2023-06-07 10:25:00,1.0,5.4283503
18023983,18023983,GBCO,5.46,5.49,5.46,5.48,5416,2023-06-07 11:10:00,1.0,5.471003
18024067,18024067,GBCO,5.49,5.5,5.48,5.48,54931,2023-06-07 11:25:00,1.0,5.471882
18025599,18025599,GBCO,5.57,5.59,5.57,5.59,52227,2023-06-11 12:55:00,1.0,5.5042087
18025712,18025712,GBCO,5.68,5.69,5.68,5.68,9334,2023-06-12 11:35:00,1.0,5.704037
18025812,18025812,GBCO,6.1,6.1,6.05,6.08,54113,2023-06-13 12:35:00,1.0,6.0355497
18025878,18025878,GBCO,6.06,6.08,6.06,6.07,41096,2023-06-13 12:40:00,1.0,6.0354612
18025946,18025946,GBCO,5.44,5.48,5.43,5.48,51172,2023-06-07 10:30:00,1.0,5.4329165
18026970,18026970,GBCO,5.47,5.48,5.46,5.47,47507,2023-06-06 11:35:00,1.0,5.4403617
18030512,18030512,GBCO,5.5,5.5,5.47,5.49,20399,2023-06-07 11:35:00,1.0,5.4721644
18032042,18032042,GBCO,5.59,5.59,5.57,5.57,48504,2023-06-11 13:00:00,1.0,5.5037349
18032153,18032153,GBCO,5.68,5.72,5.68,5.72,345370,2023-06-12 11:40:00,1.0,5.7040173
18032253,18032253,GBCO,5.72,5.8,5.72,5.8,1470885,2023-06-12 11:45:00,1.0,5.7042245
18032304,18032304,GBCO,6.07,6.09,6.07,6.09,64893,2023-06-13 12:45:00,1.0,6.0358717
18032389,18032389,GBCO,6.09,6.1,6.04,6.05,135159,2023-06-13 12:50:00,1.0,6.0360876
18038819,18038819,GBCO,6.13,6.14,6.12,6.12,47822,2023-06-13 13:15:00,1.0,6.0404107
18038836,18038836,GBCO,5.5,5.51,5.49,5.49,81326,2023-06-07 10:55:00,1.0,5.4647759
18039898,18039898,GBCO,5.45,5.46,5.45,5.45,11045,2023-06-06 12:35:00,1.0,5.4464969
18043282,18043282,GBCO,5.47,5.49,5.45,5.48,8218,2023-06-07 12:20:00,1.0,5.4746042
18044786,18044786,GBCO,5.58,5.59,5.58,5.59,62041,2023-06-11 13:40:00,1.0,5.5147838
18044997,18044997,GBCO,5.79,5.79,5.75,5.77,22397,2023-06-12 12:05:00,1.0,5.7307055
18045197,18045197,GBCO,6.11,6.12,6.09,6.11,34241,2023-06-13 13:30:00,1.0,6.044099
18045283,18045283,GBCO,5.47,5.48,5.46,5.48,8609,2023-06-07 12:00:00,1.0,5.4726208
18051321,18051321,GBCO,5.59,5.6,5.58,5.59,140526,2023-06-11 14:05:00,1.0,5.5186969
18051369,18051369,GBCO,5.77,5.77,5.75,5.75,108655,2023-06-12 12:10:00,1.0,5.7278741
18051565,18051565,GBCO,6.09,6.11,6.09,6.1,94993,2023-06-13 14:00:00,1.0,6.0450863
18051718,18051718,GBCO,5.47,5.47,5.43,5.43,20062,2023-06-07 12:50:00,1.0,5.4744552
18057746,18057746,GBCO,5.59,5.62,5.58,5.62,354560,2023-06-11 14:10:00,1.0,5.5237912
18058023,18058023,GBCO,6.11,6.15,6.1,6.12,700652,2023-06-13 14:10:00,1.0,6.0453512
18058143,18058143,GBCO,5.41,5.42,5.39,5.4,59470,2023-06-07 13:35:00,1.0,5.4611472
18062383,18062383,GBCO,5.62,5.64,5.62,5.64,12702,2023-06-01 11:05:00,1.0,5.6103354
18062540,18062540,GBCO,5.39,5.4,5.39,5.39,80127,2023-06-07 13:40:00,1.0,5.4611943
18064077,18064077,GBCO,5.61,5.61,5.61,5.61,243442,2023-06-11 14:25:00,1.0,5.5220226
18064156,18064156,GBCO,5.74,5.76,5.74,5.74,40295,2023-06-12 12:20:00,1.0,5.7315092
18064449,18064449,GBCO,5.38,5.39,5.35,5.36,181608,2023-06-07 13:55:00,1.0,5.4567871
18065353,18065353,GBCO,5.56,5.56,5.55,5.55,4764,2023-06-05 10:25:00,1.0,5.5505807
18068670,18068670,GBCO,5.61,5.62,5.6,5.6,24120,2023-06-01 11:35:00,1.0,5.6117023
18068803,18068803,GBCO,5.39,5.4,5.37,5.38,96101,2023-06-07 13:45:00,1.0,5.4562683
18070320,18070320,GBCO,5.67,5.69,5.66,5.66,309238,2023-06-12 10:05:00,1.0,5.6471587
18070380,18070380,GBCO,5.74,5.75,5.74,5.75,23001,2023-06-12 12:25:00,1.0,5.7315168
18070448,18070448,GBCO,5.73,5.75,5.73,5.75,8959,2023-06-12 12:30:00,1.0,5.7315181
18074681,18074681,GBCO,5.6,5.6,5.58,5.6,45888,2023-06-01 12:15:00,1.0,5.6026678
18074709,18074709,GBCO,5.6,5.65,5.6,5.61,60782,2023-06-01 12:40:00,1.0,5.6019712
18076271,18076271,GBCO,5.68,5.69,5.66,5.68,151939,2023-06-12 10:10:00,1.0,5.6554804
18077105,18077105,GBCO,5.54,5.55,5.54,5.55,13012,2023-06-05 11:15:00,1.0,5.5450698
18077204,18077204,GBCO,5.54,5.54,5.53,5.54,19645,2023-06-05 11:25:00,1.0,5.5449123
18082153,18082153,GBCO,5.7,5.75,5.69,5.71,684541,2023-06-12 10:20:00,1.0,5.6756832
18082254,18082254,GBCO,5.74,5.76,5.72,5.74,655271,2023-06-12 10:25:00,1.0,5.6779341
18082315,18082315,GBCO,5.76,5.8,5.76,5.8,149705,2023-06-13 10:10:00,1.0,5.7566081
18088075,18088075,GBCO,5.74,5.74,5.71,5.71,421341,2023-06-12 10:30:00,1.0,5.7034818
18088182,18088182,GBCO,5.82,5.82,5.78,5.82,560967,2023-06-13 10:35:00,1.0,5.7923885
18093867,18093867,GBCO,5.7,5.73,5.69,5.69,467061,2023-06-12 10:35:00,1.0,5.7019629
18093976,18093976,GBCO,5.87,5.88,5.84,5.87,285126,2023-06-13 11:05:00,1.0,5.8351064
18094749,18094749,GBCO,5.48,5.48,5.44,5.45,216471,2023-06-05 13:40:00,1.0,5.525022
18099573,18099573,GBCO,5.51,5.53,5.5,5.53,114010,2023-06-11 12:10:00,1.0,5.4343215
18099664,18099664,GBCO,5.69,5.71,5.69,5.7,85701,2023-06-12 10:45:00,1.0,5.7075171
18099806,18099806,GBCO,6.06,6.15,6.05,6.15,1863947,2023-06-13 11:30:00,1.0,6.0031445
18100616,18100616,GBCO,5.49,5.49,5.48,5.48,3106,2023-06-05 13:50:00,1.0,5.5196163
18106578,18106578,GBCO,5.65,5.66,5.63,5.63,182172,2023-06-04 12:30:00,1.0,5.6488821
18106660,18106660,GBCO,5.41,5.42,5.41,5.41,62814,2023-06-06 13:30:00,1.0,5.4412312
18107119,18107119,GBCO,5.37,5.38,5.35,5.35,58755,2023-06-08 11:45:00,1.0,5.3751834
18107450,18107450,GBCO,5.56,5.59,5.56,5.57,7048,2023-06-11 13:35:00,1.0,5.5081968
18107520,18107520,GBCO,6.08,6.09,6.05,6.07,1345590,2023-06-13 11:50:00,1.0,6.0323058
18107581,18107581,GBCO,6.06,6.08,6.0,6.06,877673,2023-06-13 11:55:00,1.0,6.0322149
18114857,18114857,GBCO,5.34,5.34,5.33,5.33,61657,2023-06-08 13:15:00,1.0,5.3658518
18115048,18115048,GBCO,5.59,5.6,5.58,5.59,306334,2023-06-11 14:00:00,1.0,5.5193033
18115209,18115209,GBCO,6.08,6.09,6.06,6.06,76723,2023-06-13 12:15:00,1.0,6.0344921
18121451,18121451,GBCO,5.75,5.75,5.74,5.75,4193,2023-05-31 11:00:00,1.0,5.7774562
18121547,18121547,GBCO,5.74,5.74,5.7,5.73,189080,2023-05-31 11:05:00,1.0,5.7773701
18121664,18121664,GBCO,5.59,5.6,5.59,5.6,2904,2023-06-04 13:00:00,1.0,5.6417749
18122040,18122040,GBCO,5.34,5.35,5.32,5.32,89878,2023-06-08 13:25:00,1.0,5.3643081
18122121,18122121,GBCO,5.31,5.44,5.31,5.37,216183,2023-06-08 13:35:00,1.0,5.3671675
18122236,18122236,GBCO,5.7,5.71,5.7,5.71,26019,2023-06-12 11:05:00,1.0,5.7058627
18122346,18122346,GBCO,6.09,6.11,6.09,6.1,158113,2023-06-13 12:30:00,1.0,6.0356702
18128606,18128606,GBCO,5.59,5.6,5.59,5.59,21230,2023-06-04 13:05:00,1.0,5.6417211
