SELL,Date,Retail,Institutional,Foreign,Regional,Local
SELL,1/14/2009,414334681.8,434711797.2,119715553.5,36508998.6,693670973.3
SELL,1/15/2009,212105851.1,355022092.9,56145666.46,26655013.37,484327264.2
SELL,1/18/2009,372169799.3,146895471.7,85645769.72,41006156.41,392413344.9
SELL,1/19/2009,438637198.7,271131731.3,144083092.8,66008510.49,499677326.7
SELL,1/20/2009,345190936.9,225372595.1,103271999.3,43362828.43,424499267.8
SELL,1/21/2009,366046922.2,280679088.8,150687160.6,51738080.88,444300769.6
SELL,1/22/2009,222633147.9,363243557.1,91396765.98,27536205.14,472802500.9
SELL,1/25/2009,267396527.8,124106441.2,30928734.55,32103243.46,328862494
SELL,1/26/2009,293463904.1,225941235.9,73755529.88,45188247.18,400461362.9
SELL,1/27/2009,393924707.2,302055340.8,130148269,65422124.51,500409654.5
SELL,1/28/2009,324980097.7,165926394.3,87872262.07,29454389.52,373579840.4
SELL,1/29/2009,440157041.1,168635546.9,49312199.63,30439629.4,529040759
SELL,2/1/2009,256167904.6,129627132.4,10802261.04,16203391.55,358789384.4
SELL,2/2/2009,317861993.8,171156458.2,84111173.74,31297180.93,373610097.3
SELL,2/3/2009,286563461.7,184758021.3,104162047.7,20738145.25,346892611.5
SELL,2/4/2009,313872658.9,276113542.1,103837571.4,61271792.79,409450423.5
SELL,2/5/2009,322527436.1,212343933.9,114997344.6,38510738.64,381363286.8
SELL,2/8/2009,219368418.6,67763019.37,17802149.16,21821989.29,247507299.6
SELL,2/9/2009,270152820,234805722,135328889.3,27772719.81,341856932.9
SELL,2/10/2009,292381316.9,369114875.1,179265468,41674260.1,440556463.9
SELL,2/11/2009,384648556.8,326346927.2,213298645.2,50480679.36,447216159.4
SELL,2/12/2009,365571771.9,226927048.1,135682229.8,28439943.36,428376646.9
SELL,2/15/2009,409556204,167283520,49031376.54,25380947.86,502427399.6
SELL,2/16/2009,440605337.8,1544103391,123051941.2,37709465.85,1823947322
SELL,2/17/2009,405936491.2,718541323.8,102327481.2,69717624.53,953557187.1
SELL,2/18/2009,263462184.7,306802284.3,157963257.9,33645603.67,379225871.9
SELL,2/19/2009,325087386.4,218537005.6,96765141.78,17939604.94,428919645.3
SELL,2/22/2009,318338680.6,122573619.4,63050458.9,18959228.9,358902612.2
SELL,2/23/2009,343740374.3,127136850.8,66393688.73,37670178,367284235.5
SELL,2/24/2009,276472673.5,211994947.5,136282466.3,21492575.32,330692579.4
SELL,2/25/2009,305238725.1,402971773.9,135976415.8,21954525.47,550279557.7
SELL,2/26/2009,358426581.1,259550282.9,37696588.7,29662889.47,551235362.7
SELL,3/1/2009,328421492.6,270887800.4,37756485.46,35359248.29,526193559.3
SELL,3/2/2009,306410991.6,248681384.4,89369872.54,23313879.79,442408623.7
SELL,3/3/2009,376300800,276999200,47037600,39851300,566411100
SELL,3/4/2009,430244409.5,243064525.5,103016267.1,46458316.52,524507660.4
SELL,3/5/2009,424152608.4,329226802.6,169510367.5,36915591.14,547706831.8
SELL,3/8/2009,299280523.5,135088886.5,19980992.86,27799642.24,386588774.9
SELL,3/10/2009,397753689.7,172911575.3,100437086.6,55354530.71,414873647.7
SELL,3/11/2009,511853861.3,313716882.7,119707757.9,49534244.64,657154312.2
SELL,3/12/2009,406788270.1,226838318.9,110884653.1,34215835.81,489159726.7
SELL,3/15/2009,453338200,364961800,86739800,40915000,690645200
SELL,3/16/2009,502076429.3,566171292.7,195489333.1,50207642.93,822550745.9
SELL,3/17/2009,523119258.2,383499906.8,100634727.3,50770673.24,755213764.4
SELL,3/18/2009,624102365.5,817242589.5,142693150.5,47564383.52,1248204731
SELL,3/19/2009,637750157.7,458040491.3,193954944.9,73417973.48,829513521.3
SELL,3/22/2009,581359668.2,1382693265,1172539601,43209164.53,750268220.4
SELL,3/23/2009,785314192.6,336563225.4,190719161.1,66190767.66,864967489.3
SELL,3/24/2009,922557681.5,395381863.5,245136755.4,85666070.43,988454658.8
SELL,3/25/2009,724909156,328737873,93774585.58,65326115.8,894546327.6
SELL,3/26/2009,886714014.3,318060461.7,108429702.8,97586732.56,998758040.6
SELL,3/29/2009,952800000,247200000,99600000,75600000,1024800000
SELL,3/30/2009,1072563285,351823547.8,141014296.5,96858304.64,1186514232
SELL,3/31/2009,665397812.8,522812567.2,105750723.8,60598729.38,1023049137
SELL,4/1/2009,766800000,433200000,121200000,51600000,1027200000
SELL,4/2/2009,1069081919,313947730.6,135536905.7,84364808.65,1163127936
SELL,4/5/2009,1398647220,311190457.2,119688637.4,112849286.7,1477299753
SELL,4/6/2009,1341015393,660500119,260197016.6,136103054.8,1607216956
SELL,4/7/2009,1242795333,863637434.5,221175440.5,136918129.9,1750445629
SELL,4/8/2009,830087645.4,662875745.6,379212701.3,126901888.2,986848801.5
SELL,4/9/2009,855088121.2,737254748.8,210189258.8,114648686.6,1267504925
SELL,4/12/2009,1176232303,614075616.2,82354164.27,110999091,1596954664
SELL,4/13/2009,1060373082,515218421.8,226885176.6,77203983.7,1271502344
SELL,4/14/2009,661129053.9,324160147.1,105425944.5,106411233.7,773452022.8
SELL,4/15/2009,730961078.6,431139205.4,285876669.9,83671220.45,792552393.7
SELL,4/16/2009,946586444.7,600123432.3,182511765.5,86615753.11,1277582358
SELL,4/21/2009,809400000,1090600000,254600000,93100000,1552300000
SELL,4/22/2009,942400000,657600000,147200000,107200000,1345600000
SELL,4/23/2009,1140814109,536853698.2,270104516.9,124147417.7,1283415872
SELL,4/26/2009,1101264087,243380707.9,51096502.21,99503714.83,1194044578
SELL,4/27/2009,1160513682,390975197.8,130325065.9,93089332.8,1328074481
SELL,4/28/2009,963712497.4,378505465.6,135564014.3,73821987.97,1134174179
SELL,4/29/2009,1141601406,237144253.5,99269687.52,100648433.2,1178827539
SELL,4/30/2009,1174047182,319651522.9,144888774.4,80659730.07,1268150201
SELL,5/3/2009,974004317.1,139143473.9,26715546.98,80146640.95,1006285603
SELL,5/4/2009,925600000,374400000,94900000,72800000,1132300000
SELL,5/5/2009,1277440829,333455550.7,133704399.5,99875575.56,1377316405
SELL,5/6/2009,1167727210,620522728.5,118024495.9,112659746.1,1557565696
SELL,5/7/2009,1382849411,812149654.1,197549915.9,158039932.7,1839409216
SELL,5/10/2009,1398400000,501600000,140600000,108300000,1651100000
SELL,5/11/2009,1507599279,639978041.7,216905309.4,163215876.4,1769603713
SELL,5/12/2009,1366813030,547490933.7,214402044,134001277.5,1565900643
SELL,5/13/2009,1503711528,495904865.5,151970845.9,105979668.8,1739666262
SELL,5/14/2009,938166321,431419549.1,172567819.6,67109707.63,1131277929
SELL,5/17/2009,814689688.9,323145072.1,37548547.11,63718746.62,1036567467
SELL,5/18/2009,973258462,535669386,211249898.7,81482103.79,1216195845
SELL,5/19/2009,1412678530,491200890.6,123752162.4,144694836,1635432423
SELL,5/20/2009,940841667.2,302013903.8,125528412.7,67114200.83,1050212957
SELL,5/21/2009,1169319774,339479934.3,126739175.5,108633579,1274935753
SELL,5/24/2009,608107120.9,190982394.1,17579969.33,33561759.63,748746875.6
SELL,5/25/2009,627200000,972800000,49600000,60800000,1488000000
SELL,5/26/2009,790612835,207635694,80858130.85,86847622.02,830542776.1
SELL,5/27/2009,1043982448,418177843.5,270499654,81880976.35,1111241822
SELL,5/28/2009,694897879,340717440,252690137.8,55923227.23,727001953.9
SELL,5/31/2009,1032200000,267800000,115700000,75400000,1110200000
SELL,6/1/2009,1580136944,540852242.4,258760680.7,243913756.4,1618314749
SELL,6/2/2009,1775833201,533442743.1,163958592,307133700.6,1838183651
SELL,6/3/2009,1545817521,396164289.2,135938726.7,236921780.8,1569121302
SELL,6/4/2009,1384186082,385872846.5,123904125,192936423.3,1454988440
SELL,6/7/2009,1135400000,264600000,100800000,113400000,1185800000
SELL,6/8/2009,949000000,351000000,139100000,117000000,1043900000
