Date,Retail,Institutional,Foreign,Regional,Local
2008-10-21 00:00:00,52693484.8059999,0.0,0.0,0.0,0.0
2008-10-22 00:00:00,66572514.08,-66572514.08,-68922132.224,-51691599.168,120613731.392
2008-10-23 00:00:00,-21501151.617,21501151.617,-57987954.361,5863950.441,52775553.969
2008-10-26 00:00:00,-7935000.0,7935000.0,31740000.0,-5290000.0,-26450000.0
2008-10-27 00:00:00,-39481632.3900001,39481632.3900001,40150812.6,-57549498.06,17398685.46
2008-10-28 00:00:00,5016424.63800001,-5016424.63800001,-105344917.398,-7524636.95700002,112869554.355
2008-10-29 00:00:00,43607290.2160001,-43607290.2160001,-21803645.108,-1557403.222,24139749.9409999
2008-10-30 00:00:00,-7525650.528,7525650.528,-32839202.304,-11630550.816,44469753.12
2008-11-02 00:00:00,-9350429.91600001,9350429.91600001,-121555588.908,-22596872.297,144152461.205
2008-11-03 00:00:00,-30303754.47,30303754.47,-40405005.96,-7070876.043,47475882.003
2008-11-04 00:00:00,-9000000.0,9000000.0,-127000000.0,-26000000.0,153000000.0
2008-11-05 00:00:00,-94600000.0,94600000.0,128700000.0,-45100000.0,-37400000.0
2008-11-06 00:00:00,16872045.913,-16872045.913,-37713984.982,-1984946.57800001,39698931.5600001
2008-11-09 00:00:00,-98590200.0,98590200.0,70167800.0,-12434800.0,-57733000.0
2008-11-10 00:00:00,-13360500.6240001,13360500.624,-82389753.848,2226750.104,80163003.744
2008-11-11 00:00:00,40148266.13,-40148266.1300001,-48177919.356,-28677332.95,76855252.306
2008-11-12 00:00:00,51464397.589,-51464397.589,-62432220.026,1687357.298,60744862.7279999
2008-11-13 00:00:00,106144849.888,-106144849.888,-164903606.076,6634053.11800001,158269552.958
2008-11-16 00:00:00,102682966.896,-102682966.896,-76299149.013,-19253056.293,95552205.306
2008-11-17 00:00:00,156878790.108,-156878790.108,-155966704.119,0.0,155966704.119
2008-11-18 00:00:00,27479379.62,-27479379.62,-23553753.96,-6281001.056,31405005.2800001
2008-11-19 00:00:00,35664000.0,-35664000.0,-241623600.0,-891600.0,243406800.0
2008-11-20 00:00:00,109916921.717,-109916921.717,-75607593.551,-14613232.367,89585467.989
2008-11-23 00:00:00,-33514541.76,33514541.76,683970.239999995,-27358809.6,26674839.3599999
2008-11-24 00:00:00,18514158.72,-18514158.72,-80999444.4,-26035535.7,107034980.1
2008-11-25 00:00:00,-64105121.709,64105121.709,55717535.691,-41338816.803,-13779605.601
2008-11-26 00:00:00,-31395990.932,31395990.932,38221206.352,-27983383.222,-10237823.13
2008-11-27 00:00:00,-17744423.364,17744423.364,2957403.89400001,-4929006.49,1971602.59599996
2008-11-30 00:00:00,-19233770.061,19233770.061,11073988.823,-11656830.34,582841.51700002
2008-12-01 00:00:00,-11672436.258,11672436.258,1296937.36199999,-2593874.724,1296937.36199999
2008-12-02 00:00:00,-28938147.72,28938147.72,-25995285.24,-2452385.4,28938147.72
2008-12-03 00:00:00,63681823.16,-63681823.16,-117672934.1,11075099.68,105213446.96
2008-12-04 00:00:00,-12269635.2499999,12269635.25,-36087162.5,2165229.74999999,33200189.5
2008-12-10 00:00:00,23409900.0,-23409900.0,-22177800.0,2874900.0,41891400.0
2008-12-11 00:00:00,-18408672.461,18408672.461,26660835.978,-6982599.899,-19678236.079
2008-12-14 00:00:00,59991905.7920001,-59991905.792,-18364869.12,-612162.303999998,18977031.424
2008-12-15 00:00:00,-31127460.624,31127460.624,62254921.248,-35738936.272,-25939550.52
2008-12-16 00:00:00,-46488547.35,46488547.35,24174044.622,-53926714.926,29752670.304
2008-12-17 00:00:00,-21000978.985,21000978.985,23710782.725,-2032352.805,-21678429.92
2008-12-18 00:00:00,3151551.15100002,-3151551.15100001,-1800886.37200001,-5402659.116,7203545.48800004
2008-12-21 00:00:00,24864623.153,-24864623.153,-13451353.509,-11413269.644,26087473.472
2008-12-22 00:00:00,34101544.6600001,-34101544.66,-11666317.91,-23332635.82,34998953.73
2008-12-23 00:00:00,46574298.914,-46574298.914,-14955050.11,-34610258.826,49992596.082
2008-12-24 00:00:00,-7935022.08400002,7935022.08400001,8656387.728,-8295704.906,-721365.643999994
