BUY,Date,Retail,Institutional,Foreign,Regional,Local
BUY,12/4/2008,401289247,320454003,193427191,52687257.25,475628801.8
BUY,12/10/2008,269829900,140870100,79265100,26695500,327327900
BUY,12/11/2008,426573375.6,208208433.4,119973761.9,31104308.64,483703738.5
BUY,12/14/2008,484220382.5,127941921.5,56931094.27,64889204.22,490342005.5
BUY,12/15/2008,348742845.9,227691610.1,133156359.3,25939550.52,417914980.6
BUY,12/16/2008,483480892.4,446290054.6,234302278.6,82749614.28,611789283.1
BUY,12/17/2008,403760757.3,273690177.7,155813715.1,58260780.41,463376439.5
BUY,12/18/2008,331813314,118408279,94096312.94,18909306.91,337215973.2
BUY,12/21/2008,262505201.8,145111571.2,73778635.91,17119904.47,316310615.8
BUY,12/22/2008,288965720.5,159738814.5,114419656.4,21986522.22,312298356.4
BUY,12/23/2008,323883656.7,103403489.3,48710734.64,23500793.03,355502905.5
BUY,12/24/2008,263659142.9,97023679.12,40396476.06,20919603.68,299006059.4
BUY,12/25/2008,330677418.1,397686938.9,4370186.142,11653829.71,712340341.1
BUY,12/28/2008,186434358.4,90997722.57,10264987,9155258.673,258011835.3
BUY,1/4/2009,197915400,380784600,15046200,9259200,554394600
BUY,1/5/2009,500001307.6,172947962.4,98250593.42,39704006.93,535667618.9
BUY,1/6/2009,549684346.5,152339084.5,73010436.82,41419382.43,587593611.7
BUY,1/8/2009,521702813.4,153203801.6,88412766.57,24296638.14,562197210.3
BUY,1/11/2009,523888494.5,85993338.45,20735982.32,22565627.82,566580222.9
BUY,1/12/2009,503195717.9,198611420.1,114394563.5,22457828.42,564954746.1
BUY,1/13/2009,466934614.6,226876105.4,147087872.6,25670996.64,521051850.7
BUY,1/14/2009,395655659.2,453390819.8,99338438.04,16980929.58,732727111.4
BUY,1/15/2009,214941490.8,352186453.2,47071619.35,20416605.98,499639718.7
BUY,1/18/2009,393970540.7,125094730.3,58135310.35,29067655.18,431862305.5
BUY,1/19/2009,542973231.5,166795698.6,78074582.3,39037291.15,592657056.6
BUY,1/20/2009,409664616,160898916,54203535.54,45074519.03,471285477.4
BUY,1/21/2009,462409097.9,184316913.1,71786587.22,41390464.7,533548959.1
BUY,1/22/2009,257199873.5,328676831.5,67375821.08,23435068.2,495065815.7
BUY,1/25/2009,265830516,125672453,41107811.75,28579716.74,321815440.5
BUY,1/26/2009,303332601.8,216072538.2,101803407.4,27528472.42,390073260.1
BUY,1/27/2009,383485006.4,312495041.6,206706074.3,39670862.74,449603111
BUY,1/28/2009,355907206.7,134999285.3,57926966.06,19145353.19,413834172.8
BUY,1/29/2009,426154811.6,182637776.4,90101303.02,108973873.3,409717411.7
BUY,2/1/2009,287803097.6,97991939.4,37422118.59,18903956.81,329854756.6
BUY,2/2/2009,321774141.4,167244310.6,120787557.6,32764236.28,335466658.1
