NETFLOW,Date,Retail,Institutional,Foreign,Regional,Local
NETFLOW,9/8/2008,42767500.61,-42767500.61,-29807651.94,-15551818.4,45359470.35
NETFLOW,9/9/2008,3645683.001,-3645683.001,-13367504.34,-15797959.67,53470017.35
NETFLOW,9/10/2008,-21371393.65,21371393.65,-104607347.9,46117217.87,58490129.98
NETFLOW,9/11/2008,39448008.99,-39448008.99,75861555.75,10620617.81,-86482173.55
NETFLOW,9/14/2008,100153425.1,-100153425.1,-121324067.9,814255.489,119695556.9
NETFLOW,9/15/2008,80861679.15,-80861679.15,-77627211.98,-23719425.88,100268482.1
NETFLOW,9/16/2008,64140394.74,-64140394.74,-161928209.7,12617782.57,149310427.1
NETFLOW,9/17/2008,-51537282.38,51537282.38,-6722254.224,-1120375.704,7842629.928
NETFLOW,9/18/2008,-70749525.18,70749525.18,-32058378.6,47534837.23,-16581919.96
NETFLOW,9/21/2008,50390904.36,-50390904.36,17443005.35,-11628670.24,-6783390.971
NETFLOW,9/22/2008,-33500498.02,33500498.02,11420624.33,0,-11420624.33
NETFLOW,9/23/2008,43130113.19,-43130113.19,-117848478.3,59531705.53,58316772.77
NETFLOW,9/24/2008,29683964.74,-29683964.74,-144799828,15203981.94,129595846.1
NETFLOW,9/25/2008,29391075.02,-29391075.02,-180700683.4,7619908.338,174169333.4
NETFLOW,10/7/2008,2273400,-2273400,-89420400,-12882600,103060800
NETFLOW,10/8/2008,-55761756.6,55761756.6,-254564541,2424424.2,252140116.8
NETFLOW,10/9/2008,-13868527.04,13868527.04,-218198158.7,-58247813.55,275521403.8
NETFLOW,10/12/2008,-96561804.26,96561804.26,-35241534.4,-24669074.08,59910608.48
NETFLOW,10/13/2008,-8521456.584,8521456.584,56809710.56,-11361942.11,-46868011.21
NETFLOW,10/14/2008,53872326.81,-53872326.81,-44295024.27,-16760279.45,62252466.54
NETFLOW,10/15/2008,-30496359.86,30496359.86,11805042.53,-55090198.46,45252663.02
NETFLOW,10/16/2008,26101394.75,-26101394.75,-27683297.46,-11073318.98,37174713.73
NETFLOW,10/19/2008,26316998.11,-26316998.11,-87909972.41,-29676614.89,117586587.3
NETFLOW,10/20/2008,17332706.86,-17332706.86,-38251491.01,5379115.923,33470054.63
NETFLOW,10/21/2008,52693484.81,0,0,0,0
NETFLOW,10/22/2008,66572514.08,-66572514.08,-68922132.22,-51691599.17,120613731.4
NETFLOW,10/23/2008,-21501151.62,21501151.62,-57987954.36,5863950.441,52775553.97
NETFLOW,10/26/2008,-7935000,7935000,31740000,-5290000,-26450000
NETFLOW,10/27/2008,-39481632.39,39481632.39,40150812.6,-57549498.06,17398685.46
NETFLOW,10/28/2008,5016424.638,-5016424.638,-105344917.4,-7524636.957,112869554.4
NETFLOW,10/29/2008,43607290.22,-43607290.22,-21803645.11,-1557403.222,24139749.94
NETFLOW,10/30/2008,-7525650.528,7525650.528,-32839202.3,-11630550.82,44469753.12
NETFLOW,11/2/2008,-9350429.916,9350429.916,-121555588.9,-22596872.3,144152461.2
NETFLOW,11/3/2008,-30303754.47,30303754.47,-40405005.96,-7070876.043,47475882
NETFLOW,11/4/2008,-9000000,9000000,-127000000,-26000000,153000000
NETFLOW,11/5/2008,-94600000,94600000,128700000,-45100000,-37400000
NETFLOW,11/6/2008,16872045.91,-16872045.91,-37713984.98,-1984946.578,39698931.56
NETFLOW,11/9/2008,-98590200,98590200,70167800,-12434800,-57733000
NETFLOW,11/10/2008,-13360500.62,13360500.62,-82389753.85,2226750.104,80163003.74
NETFLOW,11/11/2008,40148266.13,-40148266.13,-48177919.36,-28677332.95,76855252.31
